Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/1722840/?curator_clanid=4777282&utm_source=SteamDB,Everdell,"R$ 25,45",-33%,83.57%,Jul 2022,
https://store.steampowered.com/app/772610/?curator_clanid=4777282&utm_source=SteamDB,Q-YO Blaster,"R$ 3,29",-90%,83.54%,Jan 2018,
https://store.steampowered.com/app/1674820/?curator_clanid=4777282&utm_source=SteamDB,TFC: The Fertile Crescent,"R$ 17,39",-40%,83.54%,Jun 2024,
https://store.steampowered.com/app/2717750/?curator_clanid=4777282&utm_source=SteamDB,Tobla - Divine Path,"R$ 19,86",-25%,83.50%,Mar 2024,
https://store.steampowered.com/app/2947220/?curator_clanid=4777282&utm_source=SteamDB,Parfait Remake,"R$ 72,41",-29%,83.48%,Jul 2024,
https://store.steampowered.com/app/678960/?curator_clanid=4777282&utm_source=SteamDB,CODE VEIN,"R$ 29,99",-85%,83.44%,Sep 2019,
https://store.steampowered.com/app/324710/?curator_clanid=4777282&utm_source=SteamDB,To Be or Not To Be,"R$ 5,24",-50%,83.34%,Feb 2015,
https://store.steampowered.com/app/795040/?curator_clanid=4777282&utm_source=SteamDB,E.Z,"R$ 4,54",-35%,83.34%,Feb 2018,
https://store.steampowered.com/app/501790/?curator_clanid=4777282&utm_source=SteamDB,Unforeseen Incidents,"R$ 34,80",-35%,83.32%,May 2018,
https://store.steampowered.com/app/890720/?curator_clanid=4777282&utm_source=SteamDB,In Other Waters,"R$ 11,74",-75%,83.31%,Apr 2020,
https://store.steampowered.com/app/1676870/?curator_clanid=4777282&utm_source=SteamDB,ECO HOLE,"R$ 2,63",-92%,83.30%,Oct 2021,
https://store.steampowered.com/app/988980/?curator_clanid=4777282&utm_source=SteamDB,GLAD VALAKAS TOWER DEFENCE,"R$ 1,74",-50%,83.30%,Dec 2018,
https://store.steampowered.com/app/327030/?curator_clanid=4777282&utm_source=SteamDB,Worms W.M.D,"R$ 23,98",-85%,83.24%,Aug 2016,
